Day Index,Number of Sessions per User,Avg. Session Duration
1/1/2021,1,0:00:26
1/2/2021,1,0:00:24
1/3/2021,1,0:00:12
1/4/2021,1,0:00:08
1/5/2021,1,0:00:03
1/6/2021,1,0:00:56
1/7/2021,1,0:00:00
1/8/2021,1,0:00:01
1/9/2021,1.14,0:01:10
1/10/2021,1.11,0:00:28
1/11/2021,1,0:00:12
1/12/2021,1.38,0:03:08
1/13/2021,1.13,0:01:42
1/14/2021,1.11,0:02:23
1/15/2021,1.25,0:00:00
1/16/2021,1,0:00:00
1/17/2021,1,0:00:35
1/18/2021,1.57,0:04:18
1/19/2021,1,0:00:01
1/20/2021,1,0:00:00
1/21/2021,1.17,0:00:05
1/22/2021,1.14,0:03:22
1/23/2021,1.29,0:05:16
1/24/2021,1,0:00:00
1/25/2021,1.33,0:00:28
1/26/2021,1.06,0:01:59
1/27/2021,1.13,0:01:25
1/28/2021,1.17,0:02:01
1/29/2021,1.34,0:01:12
1/30/2021,1.15,0:00:43
1/31/2021,1.13,0:01:10
2/1/2021,1.15,0:03:14
2/2/2021,1.14,0:02:52
2/3/2021,1.18,0:01:07
2/4/2021,1.27,0:02:29
2/5/2021,1.19,0:01:02
2/6/2021,1.23,0:01:29
2/7/2021,1,0:00:47
2/8/2021,1.06,0:03:00
2/9/2021,1.12,0:01:34
2/10/2021,1.27,0:01:27
2/11/2021,1,0:00:06
,1.15,0:01:41
