Day Index,Users
1/1/2021,7
1/2/2021,11
1/3/2021,5
1/4/2021,15
1/5/2021,9
1/6/2021,7
1/7/2021,11
1/8/2021,5
1/9/2021,7
1/10/2021,9
1/11/2021,5
1/12/2021,8
1/13/2021,15
1/14/2021,9
1/15/2021,4
1/16/2021,6
1/17/2021,8
1/18/2021,7
1/19/2021,5
1/20/2021,8
1/21/2021,6
1/22/2021,7
1/23/2021,7
1/24/2021,2
1/25/2021,3
1/26/2021,108
1/27/2021,141
1/28/2021,130
1/29/2021,68
1/30/2021,33
1/31/2021,123
2/1/2021,73
2/2/2021,76
2/3/2021,98
2/4/2021,48
2/5/2021,58
2/6/2021,35
2/7/2021,35
2/8/2021,70
2/9/2021,41
2/10/2021,26
2/11/2021,8
,"1,357"
